,filename,smiles,electronic_energy (Hartree),HOMO_LUMO_gap (eV),dipole_moment (Debye),crystal_density (g/cc),crystal_density (g/cc),heat_of_formation (kcal/mol),Q(cal/g),D(km/s),p(GPa)
49,molecule_00067.xyz,NC1=C(ON=C1)[N+]([O-])=O,-505.8885408,4.144870912,5.9131,1.701,1.701,3.647,153.5271318,4.116487631,7.261480978
50,molecule_00068.xyz,NC1=COC(=C1)[N+]([O-])=O,-489.8746888,3.923096372,6.3805,1.634,1.634,-25.238,338.5390625,4.351278952,7.910155226
51,molecule_00069.xyz,NC1=COC=C1[N+]([O-])=O,-489.8810038,3.712478588,3.8328,1.611,1.611,-26.451,329.0625,4.279154003,7.580655929
52,molecule_00071.xyz,NC1=CON=C1[N+]([O-])=O,-505.8819216,3.795473968,5.3953,1.697,1.697,8.439,190.6744186,4.338602111,8.054413256
53,molecule_00072.xyz,NC1=NC(=CN1)[N+]([O-])=O,-486.0836484,4.500526524,7.8838,1.725,1.725,5.415,945.4140625,6.209603823,16.66750986
54,molecule_00073.xyz,NC1=NC=C(N1)[N+]([O-])=O,-486.0880553,4.207185476,5.775,1.681,1.681,4.321,936.8671875,6.086228345,15.75636142
55,molecule_00076.xyz,NC1=NC(=NN1)[N+]([O-])=O,-502.1069234,4.886387012,8.0968,1.783,1.783,27.248,701.0310078,6.539470806,18.86192518
56,molecule_00079.xyz,NC1=C(N=CN1)[N+]([O-])=O,-486.0860047,4.522023688,8.1887,1.762,1.762,4.002,934.375,6.283242036,17.28836432
57,molecule_00080.xyz,NC1=C(C=NN1)[N+]([O-])=O,-486.0713484,4.648285512,5.6821,1.703,1.703,16.065,1028.617187,6.285997405,16.94484799
58,molecule_00081.xyz,NC1=C(N=NN1)[N+]([O-])=O,-502.0864682,4.822167636,7.5695,1.775,1.775,42.171,816.7131783,6.772706406,20.17651776
59,molecule_00082.xyz,NC1=NN=C(N1)[N+]([O-])=O,-502.0985044,4.322834776,7.0273,1.757,1.757,33.423,748.8992248,6.580626226,18.93084201
60,molecule_00084.xyz,NC1=NNC=C1[N+]([O-])=O,-486.0712675,4.22187974,4.2186,1.654,1.654,17.046,1036.28125,6.172852943,16.04321204
61,molecule_00085.xyz,NC1=NNC(=N1)[N+]([O-])=O,-502.1088446,3.747309436,3.7945,1.691,1.691,29.576,719.0775194,6.343926342,17.18263594
62,molecule_00086.xyz,NC1=NNN=C1[N+]([O-])=O,-502.0923365,4.29807222,4.4084,1.742,1.742,39.187,793.5813953,6.637015801,19.1560851
63,molecule_00087.xyz,NC1=C(NN=N1)[N+]([O-])=O,-502.0879005,4.05588898,1.4053,1.7,1.7,43.611,827.875969,6.595403302,18.63353264
64,molecule_00089.xyz,NC1=NOC=C1[N+]([O-])=O,-505.8984577,4.326100168,1.4148,1.671,1.671,-0.964,117.7829457,3.805787239,6.137876055
65,molecule_00092.xyz,NC1=C(C=CO1)[N+]([O-])=O,-489.8968654,4.289636624,4.8716,1.678,1.678,-39.719,225.40625,4.002539867,6.806806391
66,molecule_00095.xyz,NN1C=C(C=N1)[N+]([O-])=O,-486.0289867,5.591439568,5.1573,1.604,1.604,45.198,1256.21875,6.343486706,16.61203572
67,molecule_00096.xyz,NN1C=CC(=N1)[N+]([O-])=O,-486.0261935,5.461912352,5.4856,1.61,1.61,46.754,1268.375,6.37485384,16.81733137
68,molecule_00097.xyz,NN1C=CN=C1[N+]([O-])=O,-486.0353575,4.59059692,4.619,1.617,1.617,42.504,1235.171875,6.351349854,16.74037683
69,molecule_00098.xyz,NN1C=C(N=N1)[N+]([O-])=O,-502.0432826,5.634978128,6.3101,1.697,1.697,70.707,1037.922481,6.970489858,20.79030504
70,molecule_00099.xyz,NN1C=NC(=C1)[N+]([O-])=O,-486.0392322,5.232246448,7.4375,1.67,1.67,35.791,1182.726562,6.422375931,17.47256281
71,molecule_00100.xyz,NN1C=NC=C1[N+]([O-])=O,-486.0394198,4.793595456,2.7415,1.591,1.591,41.279,1225.601562,6.269942241,16.14345566
72,molecule_00101.xyz,NN1C=NC(=N1)[N+]([O-])=O,-502.0669593,5.519056712,6.3791,1.705,1.705,55.948,923.5116279,6.791866699,19.79632924
73,molecule_00102.xyz,NN1C=NN=C1[N+]([O-])=O,-502.0497034,4.65182302,4.9438,1.707,1.707,68.161,1018.186047,6.965242787,20.83508758
74,molecule_00103.xyz,NN1N=CC=C1[N+]([O-])=O,-486.0201831,4.110856412,2.5822,1.581,1.581,53.539,1321.382812,6.361937774,16.55234613
75,molecule_00104.xyz,NN1N=CC(=N1)[N+]([O-])=O,-502.0467666,5.070065312,4.4508,1.676,1.676,69.449,1028.170543,6.894844874,20.18344635
76,molecule_00105.xyz,NN1N=CN=C1[N+]([O-])=O,-502.062334,4.407462852,3.61,1.691,1.691,60.796,961.0930233,6.821117961,19.8648205
77,molecule_00106.xyz,NN1N=NC=C1[N+]([O-])=O,-502.0374938,4.493179392,2.1705,1.671,1.671,77.291,1088.96124,6.980272265,20.64780207
78,molecule_00107.xyz,OC1=CC(=CN1)[N+]([O-])=O,-489.8959859,4.275214476,6.002,1.722,1.722,-40.861,216.484375,4.033572354,7.025157743
79,molecule_00108.xyz,OC1=CC=C(N1)[N+]([O-])=O,-489.9000898,4.25725482,6.2607,1.715,1.715,-42.775,201.53125,3.950906842,6.723198845
80,molecule_00111.xyz,OC1=C(NC=C1)[N+]([O-])=O,-489.9072571,4.300521264,4.5191,1.652,1.652,-42.546,203.3203125,3.859229713,6.265950768
81,molecule_00112.xyz,[O-][N+](=O)C1=CC(=O)NN1,-505.9111238,3.6259457,2.646,1.725,1.725,-11.477,36.28682171,2.898123369,3.630585534
82,molecule_00119.xyz,OC1=CNC(=C1)[N+]([O-])=O,-489.8924805,4.078202492,5.8019,1.674,1.674,-36.808,248.1484375,4.093187402,7.107930747
83,molecule_00120.xyz,OC1=CNC=C1[N+]([O-])=O,-489.9013138,3.956294524,5.5696,1.67,1.67,-39.588,226.4296875,3.993976314,6.757345642
84,molecule_00134.xyz,OC1=C(C=CN1)[N+]([O-])=O,-489.9111658,4.25589424,5.4592,1.691,1.691,-46.715,170.75,3.753922283,6.016502194
85,molecule_00139.xyz,[O-][N+](=O)C1=CNNC1=O,-505.911857,4.662435544,7.9823,1.798,1.798,-14.317,14.27131783,2.362239529,2.473633891
86,molecule_00151.xyz,ON1C=CC(=C1)[N+]([O-])=O,-489.8350408,4.957681404,6.0467,1.68,1.68,-0.713,530.140625,4.960743039,10.46382853
87,molecule_00152.xyz,ON1C=CC=C1[N+]([O-])=O,-489.8401292,4.358754088,3.5892,1.58,1.58,3.294,561.4453125,4.826938871,9.524548817
88,molecule_00153.xyz,ON1C=C(C=N1)[N+]([O-])=O,-505.8641198,5.229253172,4.4939,1.701,1.701,18.907,271.8217054,4.748446661,9.662170621
89,molecule_00154.xyz,ON1C=CC(=N1)[N+]([O-])=O,-505.8616563,5.20013676,5.0401,1.709,1.709,20.264,282.3410853,4.80926013,9.940201174
90,molecule_00155.xyz,ON1C=CN=C1[N+]([O-])=O,-505.877759,4.429504248,3.9896,1.684,1.684,13.778,232.0620155,4.532965585,8.750043516
91,molecule_00156.xyz,ON1C=C(N=N1)[N+]([O-])=O,-521.8777396,5.68858498,5.5057,1.784,1.784,45.882,74.05384615,3.857314254,6.564741152
92,molecule_00157.xyz,ON1C=NC(=C1)[N+]([O-])=O,-505.8752961,5.330480324,6.9255,1.766,1.766,9.409,198.1937984,4.503322153,8.89304393
93,molecule_00158.xyz,ON1C=NC=C1[N+]([O-])=O,-505.8796382,4.486104376,1.7398,1.661,1.661,14.174,235.1317829,4.505244376,8.568779001
94,molecule_00160.xyz,ON1N=CC=C1[N+]([O-])=O,-505.8525817,4.77699638,3.8351,1.684,1.684,27.844,341.1007752,4.991166796,10.60839143
95,molecule_00161.xyz,ON1N=CC(=N1)[N+]([O-])=O,-521.8833046,5.340820732,4.9525,1.784,1.784,42.179,45.56923077,3.416378984,5.149672917
96,molecule_00162.xyz,ON1N=CN=C1[N+]([O-])=O,-521.8928822,5.135645268,4.451,1.787,1.787,37.23,7.5,2.178579545,2.09620539
97,molecule_00163.xyz,ON1N=NC=C1[N+]([O-])=O,-521.8684765,5.247484944,2.014,1.745,1.745,54.463,140.0615385,4.454437891,8.637825087
98,molecule_00164.xyz,[O-][N+](=O)C1=CC=CN=N1,-468.7839237,4.346780984,5.7776,1.565,1.565,49.398,900.664,5.440439909,12.02394944
99,molecule_00165.xyz,[O-][N+](=O)C1=CC=NC=N1,-468.8211133,4.802031052,3.4318,1.547,1.547,27.204,723.112,5.110139382,10.52738406
100,molecule_00166.xyz,[O-][N+](=O)C1=CC=NN=C1,-468.7847717,3.80554226,2.2326,1.549,1.549,50.136,906.568,5.411981325,11.81789382
101,molecule_00167.xyz,[O-][N+](=O)C1=CC=NN=N1,-484.7869411,4.325828052,4.4848,1.643,1.643,82.634,741.3174603,5.984667484,15.01604196
102,molecule_00169.xyz,[O-][N+](=O)C1=CN=CC=N1,-468.8146823,4.74706362,4.1309,1.548,1.548,31.175,754.88,5.167592909,10.77005517
103,molecule_00170.xyz,[O-][N+](=O)C1=CN=CN=C1,-468.8214324,4.634951828,1.8734,1.53,1.53,28.753,735.504,5.094227661,10.38514194
104,molecule_00171.xyz,[O-][N+](=O)C1=CN=CN=N1,-484.8124043,4.16201422,3.3514,1.634,1.634,67.24,619.1428571,5.699848439,13.57306002
105,molecule_00172.xyz,[O-][N+](=O)C1=CNC(=N)N1,-486.0697636,3.389476896,2.8415,1.627,1.627,19.098,1052.3125,6.127545837,15.64332123
106,molecule_00173.xyz,[O-][N+](=O)C1=CNC(=N)O1,-505.9190789,3.883639552,4.4627,1.699,1.699,-16.102,0.434108527,0.948480365,0.385220974
107,molecule_00174.xyz,[O-][N+](=O)C1=CNOC1=N,-505.8671561,4.021330248,5.648,1.742,1.742,15.742,247.2868217,4.714437373,9.665421464
108,molecule_00176.xyz,[O-][N+](=O)C1=CN=NC=N1,-484.8135861,3.854251024,1.2217,1.622,1.622,67.313,619.7222222,5.672713799,13.38068868
109,molecule_00177.xyz,[O-][N+](=O)C1=CN=NN=C1,-484.7875493,4.013166768,1.1331,1.633,1.633,83.106,745.0634921,5.967372679,14.87124207
110,molecule_00178.xyz,[O-][N+](=O)C1=CN=NN=N1,-500.7850457,4.013983116,2.1936,1.702,1.702,120.402,620.1653543,6.369717427,17.39285356
111,molecule_00179.xyz,[O-][N+](=O)C1=COC(=N)N1,-505.9185617,3.50213292,2.3096,1.67,1.67,-14.04,16.41860465,2.324502164,2.2888908
112,molecule_00180.xyz,[O-][N+](=O)C1=NC=CC=N1,-468.8178002,5.085303808,6.3177,1.56,1.56,27.65,726.68,5.145147714,10.7314364
113,molecule_00181.xyz,[O-][N+](=O)C1=NC=CN=N1,-484.8094354,4.48855342,5.549,1.641,1.641,67.771,623.3571429,5.726153379,13.73611329
114,molecule_00182.xyz,[O-][N+](=O)C1=NC=NC=N1,-484.853326,5.187075192,3.703,1.629,1.629,40.978,410.7142857,5.133292816,10.98728285
115,molecule_00183.xyz,[O-][N+](=O)C1=NC(=N)NN1,-502.0671521,3.253418896,2.8921,1.687,1.687,57.519,935.6899225,6.76457496,19.50791518
116,molecule_00185.xyz,[O-][N+](=O)C1=NC=NN=N1,-500.8147399,4.289636624,3.2037,1.698,1.698,101.119,468.3307087,5.92826925,15.04352694
117,molecule_00188.xyz,[O-][N+](=O)C1=NN=CN=N1,-500.8018488,3.716560328,3.4929,1.699,1.699,109.01,530.4645669,6.118287006,16.02923981
118,molecule_00189.xyz,[O-][N+](=O)C1=NNC(=N)N1,-502.0873808,3.408525016,3.4991,1.69,1.69,44.853,837.503876,6.587708117,18.5217296
119,molecule_00194.xyz,CC1=C(C=NN1O)[N+]([O-])=O,-545.1912855,5.286941764,4.5712,1.602,1.602,7.367,897.5594406,5.520806603,12.57246539
120,molecule_00195.xyz,CC1=CC(=NN1O)[N+]([O-])=O,-545.1874939,5.144625096,5.7731,1.595,1.595,8.738,907.1468531,5.519149676,12.52921869
121,molecule_00196.xyz,CC1=CC(=NN=N1)[N+]([O-])=O,-524.1142813,4.27766352,5.312,1.53,1.53,69.785,1324.164286,5.954300423,14.18787075
122,molecule_00197.xyz,CC1=NN(O)C(=C1)[N+]([O-])=O,-545.1767528,4.520118876,4.3934,1.57,1.57,17.045,965.2377622,5.546187544,12.52218952
123,molecule_00201.xyz,CC1=C(N=CN1O)[N+]([O-])=O,-545.2021996,5.158775128,7.1388,1.678,1.678,-2.575,828.034965,5.584059031,13.24866341
124,molecule_00202.xyz,CC1=CN=C(N1O)[N+]([O-])=O,-545.2046222,4.300521264,4.8782,1.556,1.556,2.137,860.986014,5.357695074,11.61665387
125,molecule_00203.xyz,CC1=CN=C(N=N1)[N+]([O-])=O,-524.1361999,4.511139048,6.3574,1.533,1.533,55.219,1220.121429,5.841337915,13.67254193
126,molecule_00205.xyz,CC1=CN=NC(=N1)[N+]([O-])=O,-524.1375591,4.492363044,6.2989,1.527,1.527,54.367,1214.035714,5.818835915,13.53185179
127,molecule_00206.xyz,CC1=C(N=NN1N)[N+]([O-])=O,-541.3714695,5.592255916,6.68,1.608,1.608,58.408,1216.825175,7.414187114,22.72974109
128,molecule_00207.xyz,CC1=C(N=NN1O)[N+]([O-])=O,-561.2057596,5.599603048,5.8682,1.671,1.671,33.293,707.3888889,5.960129781,15.0536057
129,molecule_00208.xyz,CC1=CN=NN=C1[N+]([O-])=O,-524.1102549,4.460253356,5.2354,1.537,1.537,72.662,1344.714286,5.995466485,14.4286657
130,molecule_00209.xyz,CC1=C(N(O)N=C1)[N+]([O-])=O,-545.1757911,4.609917156,3.7979,1.582,1.582,18.305,974.048951,5.58731761,12.77224279
131,molecule_00210.xyz,CC1=C(ON=C1N)[N+]([O-])=O,-545.211319,4.269227924,5.8794,1.574,1.574,-5.782,805.6083916,5.310176594,11.49834307
132,molecule_00211.xyz,CC1=CN(O)C(=N1)[N+]([O-])=O,-545.2026358,4.180245992,4.253,1.558,1.558,2.764,865.3706294,5.369117339,11.67615356
133,molecule_00212.xyz,CC1=CN(O)N=C1[N+]([O-])=O,-545.1844814,5.041493132,4.9493,1.609,1.609,10.695,920.8321678,5.572653262,12.84594757
134,molecule_00213.xyz,CC1=C(N)ON=C1[N+]([O-])=O,-545.2117094,4.007996564,6.7011,1.617,1.617,-7.778,791.6503497,5.384045243,12.02958263
135,molecule_00217.xyz,CC1=C(O)NN=C1[N+]([O-])=O,-545.2402452,4.617536404,6.3376,1.675,1.675,-26.44,661.1468531,5.272050941,11.79620757
136,molecule_00218.xyz,CC1=C(NNC1=O)[N+]([O-])=O,-545.2375181,3.635741876,1.8961,1.615,1.615,-22.519,688.5664336,5.19514481,11.19133234
137,molecule_00222.xyz,CC1=NC(=CN1O)[N+]([O-])=O,-545.2031609,5.111154828,7.299,1.658,1.658,-3.977,818.2307692,5.521955823,12.85792155
138,molecule_00223.xyz,CC1=NC=C(N1O)[N+]([O-])=O,-545.2086332,4.335352112,2.6904,1.538,1.538,0.814,851.7342657,5.301880953,11.28830009
139,molecule_00224.xyz,CC1=NC=C(N=N1)[N+]([O-])=O,-524.140917,4.090991944,4.231,1.52,1.52,53.835,1210.235714,5.796552566,13.38707157
140,molecule_00225.xyz,CC1=NC(=C(N)O1)[N+]([O-])=O,-545.268837,4.5103227,6.5563,1.636,1.636,-44.945,531.7412587,4.912977193,10.0920779
141,molecule_00227.xyz,CC1=NC=NC(=N1)[N+]([O-])=O,-524.1826283,5.18108864,4.3056,1.514,1.514,27.05,1018.914286,5.53792327,12.18664058
142,molecule_00228.xyz,CC1=NC(N)=C(O1)[N+]([O-])=O,-545.2685586,4.36338006,5.0403,1.605,1.605,-44.243,536.6503497,4.860810501,9.757972672
143,molecule_00229.xyz,CC1=C(O)NC(=N1)[N+]([O-])=O,-545.2598045,4.113577572,6.6738,1.661,1.661,-39.556,569.4265734,5.049749735,10.76519611
144,molecule_00230.xyz,CC1=NC(=NN1N)[N+]([O-])=O,-541.395365,5.510349,6.8767,1.601,1.601,42.493,1105.531469,7.217197031,21.47714382
145,molecule_00231.xyz,CC1=NC(=NN1O)[N+]([O-])=O,-561.2294408,5.473341224,6.4421,1.682,1.682,17.041,594.5277778,5.732413318,13.9828783
146,molecule_00232.xyz,CC1=NC=NN=C1[N+]([O-])=O,-524.1381628,4.289636624,3.8684,1.527,1.527,55.801,1224.278571,5.831070698,13.58881622
147,molecule_00233.xyz,CC1=NN(N)C(=N1)[N+]([O-])=O,-541.3892605,4.224328784,3.708,1.579,1.579,47.92,1143.482517,7.210797667,21.24649676
148,molecule_00234.xyz,CC1=C(N(O)C=N1)[N+]([O-])=O,-545.2068816,4.34569252,1.5749,1.551,1.551,2.007,860.0769231,5.344762515,11.53602156
149,molecule_00235.xyz,CC1=C(OC(N)=N1)[N+]([O-])=O,-545.2632117,4.407734968,5.6257,1.644,1.644,-42.707,547.3916084,4.965194837,10.33990408
150,molecule_00236.xyz,CC1=C(N)OC(=N1)[N+]([O-])=O,-545.2451104,3.892891496,7.5543,1.635,1.635,-31.211,627.7832168,5.119074894,10.95227097
151,molecule_00238.xyz,CC1=NC(O)=C(N1)[N+]([O-])=O,-545.273366,4.555493956,5.8186,1.635,1.635,-47.376,514.7412587,4.871203838,9.917308424
152,molecule_00240.xyz,CC1=C(NC(=O)N1)[N+]([O-])=O,-545.2915659,3.852346212,4.1642,1.618,1.618,-56.903,448.1188811,4.672029986,9.061862575
153,molecule_00242.xyz,CC1=C(O)N=C(N1)[N+]([O-])=O,-545.2673387,3.83547502,5.0831,1.617,1.617,-42.513,548.7482517,4.912681809,10.01544915
154,molecule_00243.xyz,CC1=C(OC(=N)N1)[N+]([O-])=O,-545.2473425,3.882823204,5.0254,1.603,1.603,-29.453,640.0769231,5.075488924,10.63033486
155,molecule_00244.xyz,CC1=C(O)C(=NN1)[N+]([O-])=O,-545.24773,4.111400644,5.6901,1.621,1.621,-28.174,649.020979,5.131772839,10.946095
156,molecule_00245.xyz,CC1=C(C(=O)NN1)[N+]([O-])=O,-545.2401371,4.746519388,8.2794,1.691,1.691,-27.254,655.4545455,5.295102824,11.97077645
157,molecule_00246.xyz,CC1=C(C(=N)ON1)[N+]([O-])=O,-545.1911704,4.37290412,7.0528,1.686,1.686,3.437,870.0769231,5.672109912,13.71064169
158,molecule_00248.xyz,CC1=NN=CC(=N1)[N+]([O-])=O,-524.1418839,3.77833066,1.9924,1.51,1.51,53.966,1211.171429,5.772346812,13.21661168
159,molecule_00249.xyz,CC1=NN=C(N1N)[N+]([O-])=O,-541.3790066,4.613454664,5.5556,1.604,1.604,53.996,1185.972028,7.354340521,22.32822798
160,molecule_00250.xyz,CC1=NN=C(N1O)[N+]([O-])=O,-561.2190973,4.522023688,4.4327,1.642,1.642,27.106,664.4236111,5.797760891,14.08728671
161,molecule_00251.xyz,CC1=NN=CN=C1[N+]([O-])=O,-524.1381633,3.926905996,1.1574,1.519,1.519,56.585,1229.878571,5.81738883,13.47752332
162,molecule_00252.xyz,CC1=NNC(O)=C1[N+]([O-])=O,-545.2622103,4.751417476,3.0076,1.611,1.611,-35.72,596.2517483,5.003102364,10.36262373
163,molecule_00253.xyz,CC1=NN=NC=C1[N+]([O-])=O,-524.1130518,3.985683052,1.7523,1.536,1.536,72.126,1340.885714,5.988596629,14.38936868
